접근수단,시군구_격자,행정동_격자,중분류,평균_H3SFCA,중앙값_H3SFCA,격자수,평균_접근가능가맹점수
대중교통,중랑구,면목7동,스포츠관람,1.716182387511293e-05,1.716182387511293e-05,37,1.0
대중교통,중랑구,면목본동,공연,0.00019821124235273877,0.00019193254840486616,86,24.372093023255815
대중교통,중랑구,면목본동,관광지,7.569112610694055e-05,7.594402162676707e-05,86,11.918604651162791
대중교통,중랑구,면목본동,미술,0.001200777314820191,0.001199338099793103,86,189.8953488372093
대중교통,중랑구,면목본동,스포츠관람,1.716182387511293e-05,1.716182387511293e-05,21,1.0
대중교통,중랑구,묵1동,공연,0.00015609571348164684,0.00014651111738452036,121,22.24793388429752
대중교통,중랑구,묵1동,관광지,6.986637036597968e-05,7.019180386849341e-05,121,10.917355371900827
대중교통,중랑구,묵1동,미술,0.0012358016419970203,0.0010772663410410915,122,195.11475409836066
대중교통,중랑구,묵2동,공연,0.00016523808628726374,0.00014556531982063762,66,22.924242424242426
대중교통,중랑구,묵2동,관광지,6.813115638490263e-05,6.883535115833065e-05,66,10.787878787878787
대중교통,중랑구,묵2동,미술,0.0010524341282109103,0.0010760534825336497,66,185.36363636363637
대중교통,중랑구,상봉1동,공연,0.00016066561684253345,0.00014514450581395094,69,19.420289855072465
대중교통,중랑구,상봉1동,관광지,0.00015435828963672346,7.124300570936687e-05,86,8.988372093023257
